#separator:tab
#html:true
包括	bāokuò – to include
表达	biǎodá – to express
海鲜	hǎixiān – seafood
结帐	jiézhàng – to settle the bill
控制	kòngzhì – to control
清淡	qīngdàn – light (of food); mild
庆祝	qìngzhù – to celebrate
蔬菜	shūcài – vegetables
胃	wèi – stomach
消化	xiāohuà – to digest
占	zhàn – to occupy; to take up
代表	dàibiǎo – to represent; representative
顿	dùn – measure word for meals / pauses
岸	àn – shore; bank
从而	cóng’ér – thus; thereby
贷款	dàikuǎn – loan; to lend
幅	fú – measure word for paintings / cloth
颗	kē – measure word for small things (seeds, pearls, teeth)
盆	pén – basin; flower pot
批	pī – batch; group
片	piàn – slice; piece
套	tào – set; cover
要不	yàobù – otherwise; or else
因而	yīn’ér – therefore; as a result
朵	duǒ – measure word for flowers / clouds
反映	fǎnyìng – to reflect; reflection
保持	bǎochí – to maintain; to keep
发挥	fāhuī – to bring into play; to give full play to
教练	jiàoliàn – coach; instructor
决赛	juésài – final (of a competition)
开幕式	kāimùshì – opening ceremony
力量	lìliàng – strength; power
灵活	línghuó – flexible; agile
受伤	shòushāng – to be injured
挑战	tiǎozhàn – challenge; to challenge
训练	xùnliàn – training; to train
迅速	xùnsù – rapid; speedy
首	shǒu – head; first (measure word for poems/songs)
果然	guǒrán – as expected; sure enough
忽然	hūrán – suddenly
保险	bǎoxiǎn – insurance
发票	fāpiào – receipt; invoice
风险	fēngxiǎn – risk; danger
公平	gōngpíng – fair; just
经营	jīngyíng – to manage; to operate (business)
损失	sǔnshī – loss; to lose
现象	xiànxiàng – phenomenon; appearance
效率	xiàolǜ – efficiency
优势	yōushì – advantage; superiority
原则	yuánzé – principle
员工	yuángōng – employee; staff
装修	zhuāngxiū – to renovate; to decorate
及其	jíqí – and its; as well as
扩大	kuòdà – to expand; to enlarge
绝对	juéduì – absolute; definitely
老板	lǎobǎn – boss; shop owner
领导	lǐngdǎo – leader; leadership
秘书	mìshū – secretary
软件	ruǎnjiàn – software
下载	xiàzài – to download
销售	xiāoshòu – to sell; sales
宣传	xuānchuán – to promote; publicity
询问	xúnwèn – to inquire; to ask
因素	yīnsù – factor; element
在于	zàiyú – to lie in; depend on
群	qún – group; crowd; herd
人民币	rénmínbì – RMB; Chinese currency
称赞	chēngzàn – to praise; to commend
合理	hélǐ – reasonable; rational
乐观	lèguān – optimistic
满足	mǎnzú – to satisfy; satisfaction
佩服	pèifú – to admire; admiration
疲劳	píláo – fatigue; tired
痛苦	tòngkǔ – pain; suffering
完美	wánměi – perfect
遗憾	yíhàn – regret; pity
信任	xìnrèn – to trust
逐渐	zhújiàn – gradually
充电器	chōngdiànqì – charger
传统	chuántǒng – tradition; traditional
股票	gǔpiào – stock; share
光盘	guāngpán – CD; disc
好奇	hàoqí – curious
面积	miànjī – area (of a surface)
年纪	niánjì – age
批准	pīzhǔn – to approve; to authorize
手续	shǒuxù – procedure; formalities
特殊	tèshū – special; particular
温暖	wēnnuǎn – warm; warmth
抓	zhuā – to grab; to catch
主动	zhǔdòng – initiative; active
从前	cóngqián – formerly; in the past
等待	děngdài – to wait; to await
古代	gǔdài – ancient times
国庆节	guóqìngjié – National Day
目前	mùqián – at present; currently
始终	shǐzhōng – from beginning to end; always
随时	suíshí – at any time
通常	tōngcháng – usually; generally
未来	wèilái – future
曾经	céngjīng – once; formerly
主任	zhǔrèn – director; head
安慰	ānwèi – to comfort; console
表情	biǎoqíng – facial expression
吵架	chǎojià – to quarrel; to argue
风格	fēnggé – style; manner
婚礼	hūnlǐ – wedding
空间	kōngjiān – space; room
时尚	shíshàng – fashion; trendy
天空	tiānkōng – sky
微笑	wēixiào – to smile; smile
雾	wù – fog
相似	xiāngsì – similar; alike
阳台	yángtái – balcony
抱怨	bàoyuàn – to complain
超级	chāojí – super; ultra
把握	bǎwò – to grasp; to seize
从事	cóngshì – to engage in; to be in (a profession)
精力	jīnglì – energy; vigor
人事	rénshì – human resources; personnel matters
实习	shíxí – internship; to intern
数据	shùjù – data; statistics
退休	tuìxiū – retirement; to retire
显示	xiǎnshì – to show; to display
优惠	yōuhuì – preferential; discount
制定	zhìdìng – to formulate; to draw up
当心	dāngxīn – to take care; watch out
兑换	duìhuàn – to exchange; convert (currency)
成长	chéngzhǎng – to grow; growth
促进	cùjìn – to promote; to advance
地理	dìlǐ – geography
尽力	jìnlì – to do one’s best
进步	jìnbù – progress; to advance
录取	lùqǔ – to admit; to enroll (students)
论文	lùnwén – thesis; paper
勤奋	qínfèn – diligent; hardworking
题目	tímù – topic; subject
系	xì – department; faculty
分手	fēnshǒu – to break up (relationship)
或许	huòxǔ – perhaps; maybe
